PC1,PC2,Activity
-16.1385437069805,2.152024010951896,STANDING
-15.296194299270983,1.3871437848703703,STANDING
-15.137018611287953,2.473350938904129,STANDING
-15.350883762319292,3.9156807264601716,STANDING
-15.544813514578856,4.598736780566738,STANDING
-15.35910220918319,4.725042511732499,STANDING
-14.9006278821647,3.1570198018475932,STANDING
-15.228727919837402,2.080483589485077,STANDING
-15.500733590521454,3.2277189270474276,STANDING
-14.098565818549424,2.5385354605016808,STANDING
-14.325790922665112,3.2540409301745754,STANDING
-16.142757985561335,7.424385790109925,STANDING
-16.043576771997984,6.99043727623916,STANDING
-15.987295482319805,8.29703853040322,STANDING
-12.368139568739757,-6.380008193902686,STANDING
-15.156826238987836,-0.7275515695528112,STANDING
-15.469739892176927,1.190093743001841,STANDING
-15.396591595958053,3.007723414060216,STANDING
-15.418724069535731,5.757852419015863,STANDING
-15.96530857789272,6.200549883979582,STANDING
-16.204882167929597,9.430222998916879,STANDING
-16.539298728413197,10.740034210787625,STANDING
-15.974249424246354,8.687898230942043,STANDING
-16.05432680410116,8.07936220732364,STANDING
-15.940590178911844,7.67960527572194,STANDING
-15.93700223998953,7.829708766281671,STANDING
-16.33492582229887,9.814354732897371,STANDING
-7.009198054799365,-12.53054208216961,SITTING
-14.689137403343974,-4.4671661797674975,SITTING
-15.497364738926583,0.48449796904629033,SITTING
-4.109828722151161,-11.774816480474229,SITTING
-2.4445997989919386,-15.632564312640937,SITTING
-6.870554904412232,-12.799864086224584,SITTING
-13.615192141526988,-4.783294324407445,SITTING
-15.445676768982924,-0.5259160291702153,SITTING
-16.005679773761003,3.6285983471743024,SITTING
-16.21594137400417,8.939768320740855,SITTING
-16.1564776649816,8.005217110484297,SITTING
-13.077766884201429,-4.573117737065383,SITTING
-13.855941688256806,-1.7839509276320344,SITTING
-14.938643147798146,1.3187129574410361,SITTING
-15.421191345646058,4.658627240805322,SITTING
-15.523787717111043,4.742320909413317,SITTING
-15.985750469280193,3.6310494024174496,SITTING
-16.028198307799983,4.249646822062263,SITTING
-16.0421259280264,5.657171216757278,SITTING
-16.01558202536057,6.171445999841164,SITTING
-15.815624507571062,5.918074924813788,SITTING
-15.838102116153475,5.629426576764274,SITTING
-15.896867580007063,4.787175898110547,SITTING
-16.179209927937038,6.085383700637823,SITTING
-10.252672424854497,-7.597759873991656,LAYING
-15.23492433999685,0.4770002737513991,LAYING
-16.039257128727794,4.536225254150114,LAYING
-16.830333428088032,6.7726197399208585,LAYING
-16.862620502841775,7.500683839774083,LAYING
-16.551645834831923,8.778176917121872,LAYING
-16.396604947102524,7.661156555220798,LAYING
-16.806115391369545,7.036188450968402,LAYING
-16.51230051843763,6.7868436197395345,LAYING
-16.673201281730496,9.224771524422877,LAYING
-16.56977256011032,8.778285105175584,LAYING
-17.004514511721236,8.862287645868832,LAYING
-17.037056523103434,8.652904278637426,LAYING
-7.674020920989827,-8.234232887918123,LAYING
-13.058253273000323,-5.052647607987157,LAYING
1.3023222297239152,-14.833215926541493,LAYING
2.196544404248138,-18.72545670764213,LAYING
-7.858795289460401,-11.738577194342055,LAYING
-1.9177771016064487,-7.466709761708856,LAYING
12.255331090517304,-8.61343712440211,LAYING
12.775050238783619,-8.822865993894276,LAYING
-4.193668185157318,-13.734055682715601,LAYING
-12.286013132419335,-5.443336925283696,LAYING
-15.07886111365465,0.8807350968456975,LAYING
-16.30700447660597,3.3643241567174678,LAYING
-16.5111897976249,6.097113482198642,LAYING
-16.63951442950416,7.907009918415709,LAYING
15.972779410284039,-1.785732777151682,WALKING
19.00937024540357,0.8699386343618954,WALKING
17.246078661923924,1.7247116534660372,WALKING
22.296240036124992,3.2502034293658184,WALKING
21.932120415572136,1.9405601071397,WALKING
19.935420777783797,2.533712288055312,WALKING
18.66016611252982,0.5852844393883575,WALKING
20.086561795201977,4.182408969060709,WALKING
15.358844517519039,-3.1558474586650735,WALKING
18.31761180608909,1.280195427712643,WALKING
16.718049433441653,3.0990608083304645,WALKING
19.01480374557758,3.5028373024490413,WALKING
20.36696619505211,1.3150412491266568,WALKING
23.15708176515722,3.146747480657862,WALKING
22.144718088242044,3.868847257468804,WALKING
20.98345811775151,4.7421828999851305,WALKING
21.01680214285195,3.212074274561365,WALKING
22.464866401831785,3.8992653182354204,WALKING
22.06532268776139,3.148785143530911,WALKING
20.540099577035647,4.416316721113066,WALKING
20.941595342209503,3.027883564219158,WALKING
20.889578689953275,3.3793091056851496,WALKING
